TIME_(s),CIC_S,CIC_W,CIC_N,CIC_E,CIC_C,SD_S,SD_W,SD_N,SD_E,SD_C,IMAGE
0.024,-77326.1,-81341.2,-78595.4,-83111.1,-96458.4,1.4,2.1,1.3,1.0,3.4,frame_24_msec.jpg
0.025,-77326.2,-81341.3,-78595.4,-83111.0,-96458.5,1.3,2.0,1.3,1.1,3.4,frame_25_msec.jpg
0.025,-77326.3,-81341.3,-78595.4,-83111.0,-96458.6,1.2,1.9,1.3,1.1,3.2,frame_25_msec.jpg
0.025,-77326.3,-81341.3,-78595.4,-83111.1,-96458.8,1.1,2.0,1.3,1.0,3.1,frame_25_msec.jpg
0.026,-77326.3,-81341.3,-78595.3,-83111.2,-96459.0,1.2,2.0,1.4,0.9,2.9,frame_26_msec.jpg
0.026,-77326.2,-81341.2,-78595.3,-83111.2,-96459.3,1.3,2.0,1.4,0.9,2.6,frame_26_msec.jpg
0.027,-77326.1,-81341.2,-78595.2,-83111.3,-96459.6,1.4,2.1,1.5,0.8,2.2,frame_27_msec.jpg
0.052,-77326.0,-81341.2,-78595.2,-83111.4,-96460.0,1.5,2.0,1.5,0.7,1.9,frame_52_msec.jpg
0.053,-77326.0,-81341.3,-78595.2,-83111.4,-96460.4,1.5,1.9,1.5,0.7,1.5,frame_53_msec.jpg
0.053,-77326.0,-81341.5,-78595.2,-83111.5,-96460.6,1.4,1.8,1.5,0.6,1.2,frame_53_msec.jpg
0.053,-77326.2,-81341.7,-78595.2,-83111.5,-96460.8,1.3,1.6,1.5,0.6,1.1,frame_53_msec.jpg
0.053,-77326.3,-81341.9,-78595.3,-83111.4,-96460.8,1.1,1.4,1.4,0.7,1.0,frame_53_msec.jpg
0.054,-77326.5,-81342.0,-78595.5,-83111.4,-96460.8,0.9,1.3,1.2,0.7,1.1,frame_54_msec.jpg
0.083,-77326.7,-81342.1,-78595.7,-83111.3,-96460.6,0.8,1.2,1.0,0.8,1.2,frame_83_msec.jpg
0.084,-77326.8,-81342.2,-78595.9,-83111.2,-96460.5,0.7,1.1,0.8,0.9,1.4,frame_84_msec.jpg
0.084,-77326.8,-81342.2,-78596.1,-83111.1,-96460.3,0.6,1.1,0.6,1.0,1.6,frame_84_msec.jpg
0.084,-77326.8,-81342.1,-78596.3,-83111.0,-96460.1,0.7,1.1,0.4,1.1,1.8,frame_84_msec.jpg
0.085,-77326.7,-81342.1,-78596.5,-83110.9,-96459.9,0.8,1.2,0.2,1.2,2.0,frame_85_msec.jpg
0.085,-77326.6,-81342.1,-78596.6,-83110.9,-96459.6,0.9,1.2,0.1,1.2,2.2,frame_85_msec.jpg
0.114,-77326.5,-81342.1,-78596.7,-83110.9,-96459.4,1.0,1.2,0.0,1.2,2.5,frame_114_msec.jpg
0.115,-77326.4,-81342.0,-78596.6,-83110.9,-96459.1,1.1,1.2,0.0,1.2,2.8,frame_115_msec.jpg
0.115,-77326.3,-81342.0,-78596.6,-83110.9,-96458.7,1.2,1.2,0.1,1.2,3.2,frame_115_msec.jpg
0.116,-77326.2,-81342.0,-78596.5,-83111.0,-96458.3,1.3,1.2,0.2,1.1,3.6,frame_116_msec.jpg
